zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
7050,53044,186,23798.97,18840.7,Hainaut,Jurbise,50,10
7060,55040,260,20782.72,16636.8,Hainaut,Soignies,41,16
7061,55040,260,20782.72,16636.8,Hainaut,Soignies,41,16
7062,55040,260,20782.72,16636.8,Hainaut,Soignies,41,16
7063,55040,260,20782.72,16636.8,Hainaut,Soignies,41,16
7070,55035,200,22527.52,17898.61,Hainaut,Le Roeulx,32,7
7080,53028,830,18317.94,14745.33,Hainaut,Frameries,44,8
7090,55004,276,21873.94,17571.89,Hainaut,Braine-le-Comte,39,19
7100,58001,1258,17501.36,14092.28,Hainaut,La Louvière,26,0
7110,58001,1258,17501.36,14092.28,Hainaut,La Louvière,26,0
7120,58003,108,21538.75,16618.98,Hainaut,Estinnes,26,14
7130,58002,549,19558.78,15356.4,Hainaut,Binche,21,10
7131,58002,549,19558.78,15356.4,Hainaut,Binche,21,10
7133,58002,549,19558.78,15356.4,Hainaut,Binche,21,10
7134,58002,549,19558.78,15356.4,Hainaut,Binche,21,10
7140,58004,940,19224.59,15052.2,Hainaut,Morlanwelz,20,7
7141,58004,940,19224.59,15052.2,Hainaut,Morlanwelz,20,7
7160,52010,815,19228.18,14818.5,Hainaut,Chapelle-lez-Herlaimont,16,9
7170,55086,1240,17883.71,14326.89,Hainaut,Manage,23,4
7180,55085,182,23754.49,18420.07,Hainaut,Seneffe,25,9
7181,55085,182,23754.49,18420.07,Hainaut,Seneffe,25,9
7190,55050,331,21182.46,16839.19,Hainaut,Ecaussinnes,33,13
7191,55050,331,21182.46,16839.19,Hainaut,Ecaussinnes,33,13
7300,53014,1010,16770.07,13556.05,Hainaut,Boussu,56,13
7301,53014,1010,16770.07,13556.05,Hainaut,Boussu,56,13
7320,51009,271,19856.32,15380.62,Hainaut,Bernissart,68,26
7321,51009,271,19856.32,15380.62,Hainaut,Bernissart,68,26
7322,51009,271,19856.32,15380.62,Hainaut,Bernissart,68,26
7330,53070,336,20658.02,16369.91,Hainaut,Saint-Ghislain,54,13
7331,53070,336,20658.02,16369.91,Hainaut,Saint-Ghislain,54,13
7332,53070,336,20658.02,16369.91,Hainaut,Saint-Ghislain,54,13
7333,53070,336,20658.02,16369.91,Hainaut,Saint-Ghislain,54,13
7334,53070,336,20658.02,16369.91,Hainaut,Saint-Ghislain,54,13
7340,53082,1509,15980.79,12801.66,Hainaut,Colfontaine,54,11
7350,53039,258,19113.63,14794.94,Hainaut,Hensies,66,22
7370,53020,492,18080.11,14370.56,Hainaut,Dour,62,17
7380,53068,319,17541.93,14199.23,Hainaut,Quiévrain,67,22
7382,53068,319,17541.93,14199.23,Hainaut,Quiévrain,67,22
7387,53083,116,21962.36,17190.21,Hainaut,Honnelles,74,30
7390,53065,1691,16532.96,13296.7,Hainaut,Quaregnon,44,8
7500,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7501,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7502,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7503,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7504,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7506,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7520,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7521,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
7522,57081,318,20732.54,16454.35,Hainaut,Tournai,70,28
